Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (=), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228383,159,Lang_Vi,Vietnamese - Tiếng Việt,language,,,,,,,,,,,,
2228384,160,Lang_Zh_Cn,Chinese - 简体中文,language,,,,,,,,,,,,
2228385,161,Tar,`tar` (tape archive),container,,,,,,,,,,,,
2228386,162,Zip,ZIP archive,container,,,,,,,,,,,,
2228387,163,CtbAssetBundle,Collective Toolbox asset bundle,container,,.rsrc,,,,,,,,,,
2228388,164,Pdf,PDF (Portable Document Format),document,,.pdf,,,,,,,,,,
2228389,165,Markdown,Markdown,document,,.md,,,,,,,,,,
2228390,166,Troff,Troff,document,,.troff,,,,,,,,,,
2228391,167,Rss,"RSS 2, the common RSS format",document,,.rss,,,,,,,,,,
2228392,168,Rss09,RSS 0.90,document,,.rdf,,,,,,,,,,
2228393,169,Rss091Netscape,"RSS 0.91, Netscape version",document,,.xml,,,,,,,,,,
2228394,170,Rss091UserLand,"RSS 0.91, UserLand version",document,,.xml,,,,,,,,,,
2228395,171,Rss092,RSS 0.92,document,,.xml,,,,,,,,,,
2228396,172,Rss1,RSS 1.0,document,,.xml,,,,,,,,,,
2228397,173,ScriptingNews10,Scripting News 1.0a2,document,,.xml,,,,,,,,,,
2228398,174,ScriptingNews20,Scripting News 2.0b1,document,,.xml,,,,,,,,,,
2228399,175,Atom,Atom,document,,.atom,,,,,,,,,,
2228400,176,HAtom,hAtom,document,,.html,,,,,,,,,,
2228401,177,JsonFeed11,JSON Feed 1.1,document,,.json,,,,,,,,,,
2228402,178,WfscanOutput,`wfscan` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,,,
2228403,179,WfparseOutput,`wfparser` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,,,
2228404,180,Csv,Comma-Separated Values,database,,.csv,,,,,,,,,,
2228405,181,Tsv,Tab-Separated Values,database,,.tsv,,,,,,,,,,
2228406,182,Ssv,Semicolon-Separated Values,database,,.ssv,,,,,,,,,,
2228407,183,Multipart,Multipart form data,database,,,,,,,,,,,,
2228408,184,Json,JSON,database,,.json,,,,,,,,,,
2228409,185,Jsonc,JSONC,database,Json,.json,,,,,,,,,,
2228410,186,Xml,XML,database,,.xml,,,,,,,,,,
2228411,187,Warc,WARC,database,,.warc,,,,,,,,,,
2228412,188,Pan,Panorama database,database,,".pan, ",,,,,,,,,,
2228413,189,Sqlite,SQLite database,database,,.sqlite,,,,,,,,,,
2228414,190,IaMetaJson,Internet Archive metadata JSON,database,Json,.json,,,,,,,,,,
2228415,191,IaFilesXml,Internet Archive files XML,database,Xml,~_files\.xml$~,,,,,,,,,,
2228416,192,IaMetaXml,Internet Archive metadata XML,database,Xml,~_meta\.xml$~,,,,,,,,,,
2228417,193,IaMetaSqlite,Internet Archive metadata SQLite,database,Sqlite,~_meta\.sqlite$~,,,,,,,,,,
2228418,194,Clubcard,Clubcard data,database,,,,,,,,,,,,
2228419,195,CrliteFilter,CRLite filter data,database,,,,,,,,,,,,
2228420,196,CrliteFilterDelta,CRLite filter delta,database,,,,,,,,,,,,
2228421,197,CommonLogFormat,NCSA Common Log Format,database,,,,,,,,,,,,
2228422,198,ExtendedLogFormat,W3C Extended Log Format,database,,,,,,,,,,,,
2228423,199,Integer,Integer number,number,AbstractNumber,,,,,,,,,,,
2228424,200,Natural0,"Natural number, including 0",number,AbstractNumber & Integer,,,,,,,,,,,
2228425,201,Positive,Positive number,number,AbstractNumber,,,,,,,,,,,
2228426,202,Negative,Negative number,number,AbstractNumber,,,,,,,,,,,
2228427,203,U8,8-bit unsigned integer,number,,,,,,,,,,,,
2228428,204,I8,8-bit signed integer,number,,,,,,,,,,,,
2228429,205,U16,16-bit unsigned integer,number,,,,,,,,,,,,
2228430,206,I16,16-bit signed integer,number,,,,,,,,,,,,
2228431,207,U32,32-bit unsigned integer,number,,,,,,,,,,,,
2228432,208,I32,32-bit signed integer,number,,,,,,,,,,,,
2228433,209,U64,64-bit unsigned integer,number,,,,,,,,,,,,
2228434,210,I64,64-bit signed integer,number,,,,,,,,,,,,
2228435,211,U128,128-bit unsigned integer,number,,,,,,,,,,,,
2228436,212,I128,128-bit signed integer,number,,,,,,,,,,,,
2228437,213,Float,Floating-point number,number,,,,,,,,,,,,
2228438,214,Fixed,Fixed-point number,number,,,,,,,,,,,,
2228439,215,Pack32,Pack32 (encoded 32-bit value),number,,,,,,,,,,,,
2228440,216,Gregorian,Gregorian calendar,calendar,,,,,,,,,,,,
2228441,217,Julian,Julian calendar,calendar,,,,,,,,,,,,
2228442,218,DateString,A string representing a date,semantic,,,,,,,,,,,,
2228443,219,TimeString,A string representing a time,semantic,,,,,,,,,,,,
2228444,220,DateTimeString,A string representing a date and time,semantic,,,,,,,,,,,,
2228445,221,PanDate,Panorama date,date,,,,,,,,,,,,
2228446,222,PanTime,Panorama time,date,,,,,,,,,,,,
2228447,223,PanSuperDate,Panorama SuperDate,date,,,,,,,,,,,,
2228448,224,MathExpression,Math expression (not an equation/relation),math,,,,,,,,,,,,
2228449,225,Pem,"PEM printable encoding (Privacy-Enhanced Mail, RFC 7468)",database,,".pem, .crt",application/x-pem-file,,,,,,,,See more specific formats below,
2228450,226,IpAddr,IP address,identifier,,,,,,,,,,,,
2228451,227,Uri,URI (Uniform Resource Identifier),identifier,,,,,,,,,,,,
2228452,228,FileName,File name,identifier,,,,,,,,,,,,
2228453,229,FilePath,File path,identifier,,,,,,,,,,,,
2228454,230,Lnk,Windows shortcut,identifier,,".lnk, .url, .cda",application/x-ms-shortcut,,,,,,,,,
2228455,231,MacAlias,Mac alias,identifier,,,,com.apple.alias-file,alis,,,,,,,
2228456,232,MacBookmark,Mac bookmark,identifier,,,,,,,,,,,,
2228457,233,Torrent,Torrent,identifier,,.torrent,application/x-bittorrent,,,,,,,,,
2228458,234,Btih,Torrent info hash,identifier,,,,,,,,,,,,
2228459,235,Magnet,Magnet URI,identifier,Uri,,,,,,,,,,,
2228460,236,IaIdentifier,Internet Archive item identifier,identifier,,,,,,,,,,,,
2228461,237,IaArchiveTorrent,Internet Archive item torrent,identifier,Torrent,~_archive\.torrent$~,application/x-bittorrent,,,,,,,,,
2228462,238,XxHash32,xxHash32,hash,,,,,,,,,,,,
2228463,239,XxHash64,xxHash64,hash,,,,,,,,,,,,
2228464,240,XxHash3_64,xxHash3-64,hash,,,,,,,,,,,,
2228465,241,XxHash3_128,xxHash3-128,hash,,,,,,,,,,,,
2228466,242,Md5,MD5,hash,,,,,,,,,,,,
2228467,243,Md6,MD6,hash,,,,,,,,,,,,
2228468,244,Sha1,SHA-1,hash,,,,,,,,,,,,
2228469,245,Sha256,SHA-256,hash,,,,,,,,,,,,
2228470,246,Sha512,SHA-512,hash,,,,,,,,,,,,
2228471,247,Sha3,SHA-3,hash,,,,,,,,,,,,
2228472,248,Tiger,Tiger checksum,hash,,,,,,,,,,,,
2228473,249,Whirlpool,Whirlpool checksum,hash,,,,,,,,,,,,
2228474,250,Adler32,Adler32,hash,,,,,,,,,,,,
2228475,251,Fletcher4,Fletcher4,hash,,,,,,,,,,,,
2228476,252,Fletcher8,Fletcher8,hash,,,,,,,,,,,,
2228477,253,Fletcher16,Fletcher16,hash,,,,,,,,,,,,
2228478,254,Fletcher32,Fletcher32,hash,,,,,,,,,,,,
2228479,255,Crc32,CRC-321,hash,,,,,,,,,,,,
2228480,256,Cksum,`cksum`,hash,,,,,,,,,,,,
2228481,257,BsdChecksum,BSD checksum,hash,,,,,,,,,,,,
2228482,258,SysvChecksum,SYSV checksum,hash,,,,,,,,,,,,
2228483,259,Hmac,HMAC,hash,,,,,,,,,,,,
2228484,260,Blake,BLAKE,hash,,,,,,,,,,,,
2228485,261,Blake2,BLAKE2,hash,,,,,,,,,,,,
2228486,262,Blake3,BLAKE3,hash,,,,,,,,,,,,
2228487,263,UserAgent,User-Agent string,hash,,,,,,,,,,,,
2228488,264,FileExtension,File extension,hash,,,,,,,,,,,,
2228489,265,UriProtocol,URI protocol,hash,,,,,,,,,,,,
2228490,266,TerminalMouse,Character-mode videoterminal supporting mouse input,device_caps,,,,,,,,,,,,
2228491,267,TerminalGraphics,Character-mode videoterminal supporting graphics,device_caps,,,,,,,,,,,,
2228492,268,TerminalSixelGraphics,Character-mode videoterminal supporting sixel graphics,device_caps,,,,,,,,,,,,
2228493,269,TerminalIterm2Graphics,Character-mode videoterminal supporting iTerm2 graphics,device_caps,,,,,,,,,,,,
2228494,270,TerminalKittyGraphics,Character-mode videoterminal supporting Kitty graphics,device_caps,,,,,,,,,,,,
2228495,271,RasterDisplay,Raster display,device_caps,,,,,,,,,,,,
2228496,272,VectorDisplay,Vector display,device_caps,,,,,,,,,,,,
2228497,273,RenderModeImmediate,Render full document immediately without interactive features,device_caps,,,,,,,,,,,,
2228498,274,RenderModeInteractive,Render with interactive features enabled,device_caps,,,,,,,,,,,,
2228499,275,Unknown,Unknown data,armor,,", .bin",application/octet-stream,,,,,,,,,
2228500,276,Csur,ConScript Unicode Registry,v:unicodePua,,,,,,,,,,,,
2228501,277,Ucsur,Under-ConScript Unicode Registry,v:unicodePua,Csur,,,,,,,,,,,
2228502,278,Mime,Multipurpose Internet Mail Extensions,document,,".eml, .mim, .mime","message/rfc822, multipart/mixed",,,,,,,,,
2228503,279,QuotedPrintable,Quoted-Printable,armor,,,,,,,,,,,,
2228504,280,Uuencode,Uuencode,armor,,".uue, .uu",,,,,,,,,,
2228505,281,YEnc,yEnc,armor,,".ync, .yenc",,,,,,,,,,
2228506,282,BinHex,The common BinHex 4 format,armor,,.hqx,"application/mac-binhex40, application/mac-binhex, application/binhex",,,,,,,,,
2228507,283,BinHexTrs80,BinHex for TRS-80,armor,,.hex,,,,,,,,,,
